"file_name","Start (s)","End (s)","Scientific name","Common name","Confidence","site","year","month","day","time","count"
"./output/20230301_060100.BirdNET.results.csv",585,588,"Thryothorus ludovicianus","Carolina Wren",0.2433,1,"2023",3,1,601,1
"./output/20230301_060100.BirdNET.results.csv",591,594,"Thryothorus ludovicianus","Carolina Wren",0.322,1,"2023",3,1,601,1
"./output/20230301_060100.BirdNET.results.csv",594,597,"Thryothorus ludovicianus","Carolina Wren",0.3137,1,"2023",3,1,601,1
"./output/20230301_061110.BirdNET.results.csv",3,6,"Thryothorus ludovicianus","Carolina Wren",0.3756,1,"2023",3,1,611,1
"./output/20230301_061110.BirdNET.results.csv",6,9,"Thryothorus ludovicianus","Carolina Wren",0.2157,1,"2023",3,1,611,1
"./output/20230301_061110.BirdNET.results.csv",9,12,"Thryothorus ludovicianus","Carolina Wren",0.1368,1,"2023",3,1,611,1
"./output/20230301_061110.BirdNET.results.csv",180,183,"Thryothorus ludovicianus","Carolina Wren",0.7216,1,"2023",3,1,611,1
"./output/20230301_061110.BirdNET.results.csv",183,186,"Thryothorus ludovicianus","Carolina Wren",0.6514,1,"2023",3,1,611,1
"./output/20230301_061110.BirdNET.results.csv",186,189,"Thryothorus ludovicianus","Carolina Wren",0.3562,1,"2023",3,1,611,1
"./output/20230301_061110.BirdNET.results.csv",192,195,"Thryothorus ludovicianus","Carolina Wren",0.667,1,"2023",3,1,611,1
"./output/20230301_061110.BirdNET.results.csv",198,201,"Thryothorus ludovicianus","Carolina Wren",0.5296,1,"2023",3,1,611,1
"./output/20230301_061110.BirdNET.results.csv",201,204,"Thryothorus ludovicianus","Carolina Wren",0.2198,1,"2023",3,1,611,1
"./output/20230301_061110.BirdNET.results.csv",204,207,"Thryothorus ludovicianus","Carolina Wren",0.5053,1,"2023",3,1,611,1
"./output/20230301_061110.BirdNET.results.csv",210,213,"Thryothorus ludovicianus","Carolina Wren",0.5432,1,"2023",3,1,611,1
"./output/20230301_061110.BirdNET.results.csv",213,216,"Thryothorus ludovicianus","Carolina Wren",0.4442,1,"2023",3,1,611,1
"./output/20230301_061110.BirdNET.results.csv",216,219,"Thryothorus ludovicianus","Carolina Wren",0.2359,1,"2023",3,1,611,1
"./output/20230301_061110.BirdNET.results.csv",219,222,"Thryothorus ludovicianus","Carolina Wren",0.5397,1,"2023",3,1,611,1
"./output/20230301_061110.BirdNET.results.csv",225,228,"Thryothorus ludovicianus","Carolina Wren",0.5227,1,"2023",3,1,611,1
"./output/20230301_061110.BirdNET.results.csv",228,231,"Thryothorus ludovicianus","Carolina Wren",0.4332,1,"2023",3,1,611,1
"./output/20230301_061110.BirdNET.results.csv",231,234,"Thryothorus ludovicianus","Carolina Wren",0.3388,1,"2023",3,1,611,1
"./output/20230301_061110.BirdNET.results.csv",234,237,"Thryothorus ludovicianus","Carolina Wren",0.2347,1,"2023",3,1,611,1
"./output/20230301_061110.BirdNET.results.csv",237,240,"Thryothorus ludovicianus","Carolina Wren",0.6139,1,"2023",3,1,611,1
"./output/20230301_061110.BirdNET.results.csv",240,243,"Thryothorus ludovicianus","Carolina Wren",0.5507,1,"2023",3,1,611,1
"./output/20230301_061110.BirdNET.results.csv",246,249,"Thryothorus ludovicianus","Carolina Wren",0.6876,1,"2023",3,1,611,1
