"file_name","Start (s)","End (s)","Scientific name","Common name","Confidence","site","year","month","day","time","count"
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site18/output/20230303_063130.BirdNET.results.csv",597,600,"Thryothorus ludovicianus","Carolina Wren",0.9244,18,"2023",3,3,631,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site18/output/20230303_064140.BirdNET.results.csv",0,3,"Thryothorus ludovicianus","Carolina Wren",0.7133,18,"2023",3,3,641,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site18/output/20230303_064140.BirdNET.results.csv",6,9,"Thryothorus ludovicianus","Carolina Wren",0.5181,18,"2023",3,3,641,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site18/output/20230303_064140.BirdNET.results.csv",9,12,"Thryothorus ludovicianus","Carolina Wren",0.8347,18,"2023",3,3,641,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site18/output/20230303_064140.BirdNET.results.csv",15,18,"Thryothorus ludovicianus","Carolina Wren",0.7116,18,"2023",3,3,641,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site18/output/20230303_064140.BirdNET.results.csv",21,24,"Thryothorus ludovicianus","Carolina Wren",0.2883,18,"2023",3,3,641,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site18/output/20230303_064140.BirdNET.results.csv",24,27,"Thryothorus ludovicianus","Carolina Wren",0.2337,18,"2023",3,3,641,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site18/output/20230303_064140.BirdNET.results.csv",27,30,"Thryothorus ludovicianus","Carolina Wren",0.309,18,"2023",3,3,641,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site18/output/20230303_064140.BirdNET.results.csv",30,33,"Thryothorus ludovicianus","Carolina Wren",0.8751,18,"2023",3,3,641,1
"//10.2.28.245/Shriver/ARU_Data/RealityWren/BikePath/Site18/output/20230303_064140.BirdNET.results.csv",33,36,"Thryothorus ludovicianus","Carolina Wren",0.5858,18,"2023",3,3,641,1
